content_id,source_id,source_type,food_id,orig_content,orig_unit,food_name,food_group,food_subgroup,source_name,score,nutri_score,nutri_score_category
26492,4,Nutrient,744,4.54,g/100g,Popcorn,Snack foods,Snack foods,Fatty acids,4,8,C
26508,4,Nutrient,745,32.4,g/100g,Potato chip,Snack foods,Snack foods,Fatty acids,10,26,E
26525,4,Nutrient,746,23.36,g/100g,Tortilla chip,Snack foods,Snack foods,Fatty acids,10,21,E
26537,4,Nutrient,747,28.41,g/100g,Corn chip,Snack foods,Snack foods,Fatty acids,10,24,E
26546,4,Nutrient,748,0.65,g/100g,Hibiscus tea,Teas,Herbal teas,Fatty acids,0,1,B
26547,4,Nutrient,749,5.53,g/100g,Stew,Dishes,Other dishes,Fatty acids,5,9,C
26563,4,Nutrient,750,0.1,g/100g,Gelatin dessert,Confectioneries,Desserts,Fatty acids,0,13,D
26567,4,Nutrient,751,2.06,g/100g,Junket,Confectioneries,Milk desserts,Fatty acids,2,3,C
26574,4,Nutrient,752,17.8,g/100g,Falafel,Dishes,Other dishes,Fatty acids,,-2,A
26575,4,Nutrient,753,12.22,g/100g,Frybread,Dishes,Other dishes,Fatty acids,10,22,E
26577,4,Nutrient,754,2,g/100g,Other frozen dessert,Confectioneries,Frozen desserts,Fatty acids,1,5,C
26610,4,Nutrient,755,5.33,g/100g,Lasagna,Dishes,Pasta dishes,Fatty acids,5,6,C
26614,4,Nutrient,756,0.57,g/100g,Morchella (Morel),Vegetables,Mushrooms,Fatty acids,0,-3,A
26615,4,Nutrient,757,14.76,g/100g,Pancake,Dishes,Other dishes,Fatty acids,10,20,E
26634,4,Nutrient,758,0.3,g/100g,Pectin,Baking goods,Baking goods,Fatty acids,0,11,D
26636,4,Nutrient,759,1.7,g/100g,Pudding,Confectioneries,Desserts,Fatty acids,1,8,C
26686,4,Nutrient,760,9.7,g/100g,Waffle,Dishes,Other dishes,Fatty acids,9,22,E
26701,4,Nutrient,761,2.4,g/100g,Soy milk,Soy,Soy products,Fatty acids,2,1,B
26732,4,Nutrient,762,8.9,g/100g,Meatloaf,Dishes,Ground meat,Fatty acids,8,16,D
26750,4,Nutrient,764,0.06,g/100g,Cocktail,Beverages,Alcoholic beverages,Fatty acids,0,4,C
26754,4,Nutrient,765,0.64,g/100g,Couscous,Dishes,Berber cuisine,Fatty acids,0,4,C
26756,4,Nutrient,766,1.33,g/100g,Bulgur,Cereals and cereal products,Cereal products,Fatty acids,1,5,C
26758,4,Nutrient,767,0.2,g/100g,Coffee substitute,Baking goods,Substitutes,Fatty acids,0,12,D
26764,4,Nutrient,768,13.21,g/100g,Coffee mocha,Coffee and coffee products,Coffee products,Fatty acids,10,18,D
26766,4,Nutrient,769,11.31,g/100g,Chimichanga,Dishes,Mexican cuisine,Fatty acids,,0,B
26770,4,Nutrient,770,1.2,g/100g,Semolina,Cereals and cereal products,Cereal products,Fatty acids,1,8,C
26773,4,Nutrient,771,0.02,g/100g,Tapioca pearl,Baking goods,Baking goods,Fatty acids,0,14,D
26774,4,Nutrient,772,6.85,g/100g,Tostada,Dishes,Mexican cuisine,Fatty acids,,0,B
26778,4,Nutrient,773,15.25,g/100g,Quesadilla,Dishes,Mexican cuisine,Fatty acids,10,19,E
26779,4,Nutrient,774,9.71,g/100g,Baked potato,Dishes,Potato dishes,Fatty acids,,-2,A
26784,4,Nutrient,775,14.84,g/100g,Hot dog,Dishes,Sandwiches,Fatty acids,,2,B
26787,4,Nutrient,776,34,g/100g,Spread,Baking goods,Baking goods,Fatty acids,10,28,E
26796,4,Nutrient,777,11.56,g/100g,Enchilada,Dishes,Mexican cuisine,Fatty acids,,2,B
26799,4,Nutrient,778,13,g/100g,Egg substitute,Baking goods,Substitutes,Fatty acids,,3,C
26801,4,Nutrient,779,17.14,g/100g,Nutritional drink,Beverages,Nutritional beverages,Fatty acids,10,10,C
26813,4,Nutrient,780,16.18,g/100g,Other sandwich,Dishes,Sandwiches,Fatty acids,10,16,D
26843,4,Nutrient,781,2.4,g/100g,Ketchup,Baking goods,Condiments,Fatty acids,2,12,D
26847,4,Nutrient,782,5.99,g/100g,Breakfast sandwich,Dishes,Sandwiches,Fatty acids,5,19,E
26883,4,Nutrient,783,20.9,g/100g,Adobo,Baking goods,Seasonings,Fatty acids,10,24,E
26884,4,Nutrient,784,14.96,g/100g,Macaroni and cheese,Dishes,Pasta dishes,Fatty acids,10,9,C
26895,4,Nutrient,785,99.48,g/100g,Butterfat,Milk and milk products,Other milk products,Fatty acids,,0,B
26896,4,Nutrient,786,1.26,g/100g,Horned melon,Gourds,Gourds,Fatty acids,,-1,A
26897,4,Nutrient,787,13.5,g/100g,Hushpuppy,Dishes,American cuisine,Fatty acids,10,24,E
26901,4,Nutrient,788,0.1,g/100g,Fruit juice,Beverages,Other beverages,Fatty acids,0,11,D
26926,4,Nutrient,789,0.1,g/100g,Relish,Baking goods,Condiments,Fatty acids,0,10,C
26931,4,Nutrient,790,5.6,g/100g,Other fruit product,Fruits,Fruit products,Fatty acids,5,12,D
26936,4,Nutrient,791,0.05,g/100g,Fruit salad,Fruits,Fruit products,Fatty acids,0,0,B
26952,4,Nutrient,792,1.76,g/100g,Soy yogurt,Soy,Soy products,Fatty acids,1,2,B
26963,4,Nutrient,793,0.9,g/100g,Vegetarian food,Dishes,Other dishes,Fatty acids,0,5,C
27062,4,Nutrient,795,10.9,g/100g,Cold cut,Dishes,Ground meat,Fatty acids,10,15,D
27078,4,Nutrient,796,51.45,g/100g,Mixed nuts,Nuts,Nuts,Fatty acids,10,10,C
27087,4,Nutrient,797,100,g/100g,Canola,Herbs and spices,Oilseed crops,Fatty acids,,0,B
27093,4,Nutrient,798,100,g/100g,Babassu palm,Herbs and Spices,Oilseed crops,Fatty acids,,0,B
27094,4,Nutrient,799,100,g/100g,Cupuaçu,Herbs and Spices,Oilseed crops,Fatty acids,,0,B
27095,4,Nutrient,800,100,g/100g,Shea tree,Herbs and Spices,Oilseed crops,Fatty acids,,0,B
27096,4,Nutrient,801,100,g/100g,Oil-seed Camellia,Herbs and Spices,Oilseed crops,Fatty acids,,0,B
27097,4,Nutrient,802,100,g/100g,Ucuhuba,Herbs and Spices,Oilseed crops,Fatty acids,,0,B
27098,4,Nutrient,803,6,g/100g,Phyllo dough,Baking goods,Baking goods,Fatty acids,5,18,D
27099,4,Nutrient,804,100,g/100g,Cooking oil,Baking goods,Baking goods,Fatty acids,,0,B
27106,4,Nutrient,805,24.9,g/100g,Pie crust,Baking goods,Wrappers,Fatty acids,10,29,E
27123,4,Nutrient,806,0.1,g/100g,Pie filling,Baking goods,Baking goods,Fatty acids,0,5,C
27127,4,Nutrient,807,11,g/100g,Pie,Confectioneries,Desserts,Fatty acids,10,19,E
27155,4,Nutrient,808,100,g/100g,Shortening,Fats and oils,Vegetable fats,Fatty acids,,0,B
27174,4,Nutrient,809,6.67,g/100g,Soy cream,Soy,Soy products,Fatty acids,,0,B
27177,4,Nutrient,810,21.88,g/100g,Ice cream cone,Baking goods,Wrappers,Fatty acids,10,18,D
27180,4,Nutrient,811,0.1,g/100g,Molasses,Baking goods,Baking goods,Fatty acids,,0,B
